============================================================
EXTENDED CHARACTER ANALYSIS
============================================================

Undecoded byte values and their frequencies:
These may represent French extended characters (é, è, ç, etc.)

Byte    Frequency
--------------------
0x01    16396
0xFE    14975
0xFD    11858
0x02    10600
0xFC    7821
0x03    5750
0xFB    5167
0x80    4023
0x05    3077
0x04    3060
0xFA    3044
0x06    2330
0x40    2290
0xF9    1942
0xC0    1895
0xDB    1818
0xF0    1788
0xF8    1769
0x08    1725
0xC4    1608
0xE0    1525
0x0A    1474
0xEC    1422
0xF4    1350
0xF5    1334
0xEE    1317
0xEF    1285
0x09    1271
0xED    1264
0xD8    1259
0xBF    1224
0x91    1224
0xF7    1213
0xBD    1206
0x60    1205
0xCF    1191
0x78    1188
0xF6    1184
0xE2    1174
0xAA    1172
0x88    1134
0xAC    1117
0xB0    1092
0x98    1091
0xBB    1086
0xE1    1077
0xDF    1077
0xCC    1073
0xA8    1043
0xC8    1036
0xF1    1035
0x3F    1030
0xF3    1019
0x68    1014
0xF2    1012
0xD3    1000
0xD0    997
0x0B    987
0xC5    985
0xDD    965
0x0C    957
0xE6    950
0xDC    950
0xEB    941
0xDE    941
0x7D    940
0xA0    926
0xD1    923
0xEA    914
0x90    911
0xB4    908
0xAB    906
0xC9    898
0xE8    892
0x64    885
0xD6    882
0xA7    868
0xA6    858
0xE7    857
0xA5    846
0x7F    836
0x82    833
0x87    833
0x65    832
0x8E    830
0xB8    828
0xCB    820
0xDA    818
0x66    816
0x81    812
0x3D    809
0x9F    802
0xB5    796
0x67    791
0xA2    790
0x3E    788
0xD4    778
0xE4    776
0x96    775
0xE3    773
0x99    773
0xB9    772
0x5E    772
0xC7    771
0x83    770
0x71    767
0xCA    763
0xD7    754
0xAF    748
0x86    748
0x61    747
0xA3    743
0x94    739
0xD2    738
0x5B    734
0xD5    732
0x7B    730
0x75    728
0x8F    728
0xC2    727
0x85    726
0xBA    724
0xD9    724
0xB1    723
0x77    722
0xC6    716
0xCD    712
0xAE    709
0x6A    707
0x73    706
0x5C    706
0x93    705
0xBC    698
0xBE    698
0x9B    695
0xB7    694
0x9E    687
0x8A    687
0x5F    686
0xE9    683
0x92    681
0xAD    678
0x76    677
0x7E    671
0x6B    667
0xB3    665
0x95    661
0xA4    655
0x8B    654
0xB2    649
0x72    642
0xC3    635
0x9D    630
0x62    627
0x69    626
0x63    621
0x8C    619
0xE5    614
0x8D    611
0x7A    607
0x9A    596
0x5D    595
0x97    595
0xA9    589
0x89    578
0xCE    575
0x9C    567
0x6C    565
0xB6    561
0xA1    550
0x7C    549
0xC1    547
0x84    495
